,constructorId,constructorRef,name,nationality,url,img_urls
198,201,lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus,http://upload.wikimedia.org/wikipedia/commons/9/9e/TeamLotus.jpg
199,202,shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,
200,203,shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,
201,204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham,http://upload.wikimedia.org/wikipedia/en/5/53/Brabham91.png
202,205,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing,
203,206,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1,http://upload.wikimedia.org/wikipedia/en/thumb/7/71/Marussia_F1.png/220px-Marussia_F1.png
204,207,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1,http://upload.wikimedia.org/wikipedia/en/thumb/6/61/Caterham_F1_Team_logo.svg/220px-Caterham_F1_Team_logo.svg.png
205,208,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1,http://upload.wikimedia.org/wikipedia/en/f/f8/Lotus_F1_Team_logo.png
206,209,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport,http://upload.wikimedia.org/wikipedia/en/thumb/d/df/Manor_Motorsport_logo.png/150px-Manor_Motorsport_logo.png
207,210,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team,http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/MoneyGram_Haas_F1_Team_Logo.svg/220px-MoneyGram_Haas_F1_Team_Logo.svg.png
208,211,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/BWT_Racing_Point_Logo.svg/220px-BWT_Racing_Point_Logo.svg.png
209,213,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,http://upload.wikimedia.org/wikipedia/en/thumb/0/09/Scuderia_Alpha-Tauri.svg/220px-Scuderia_Alpha-Tauri.svg.png
210,214,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Logo_of_alpine_f1_team_2022.png/220px-Logo_of_alpine_f1_team_2022.png
